MODEL,ERRO ABSOLUTO MEDIO,TOTAL SETUP,INICIAR BEHAVIOUR,TOTAL BEHAVIOUR,IMPORTAR DATA,SPLIT DATA,TRAIN MODEL,TEST MODEL,TEMPO TOTAL
M5P,5966,196,2,18931,1573,1541,15700,117,19129
M5P,5966,184,1,18622,1525,1481,15493,123,18807
M5P,5966,184,1,19117,1546,1455,15987,129,19302
M5P,5966,188,2,19728,1558,1516,16528,126,19918
M5P,5966,189,2,19371,1551,1496,16200,124,19562
