MODEL,ERRO ABSOLUTO MEDIO,TOTAL SETUP,INICIAR BEHAVIOUR,TOTAL BEHAVIOUR,IMPORTAR DATA,SPLIT DATA,TRAIN MODEL,TEST MODEL,TEMPO TOTAL
MultilayerPerceptron,14928,11,1,4403,179,141,4074,9,4415
MultilayerPerceptron,14928,23,0,4998,178,146,4662,12,5021
MultilayerPerceptron,14928,16,0,4380,176,143,4051,10,4396
MultilayerPerceptron,14928,15,0,4405,182,147,4066,10,4420
