MODEL,ERRO ABSOLUTO MEDIO,TOTAL SETUP,INICIAR BEHAVIOUR,TOTAL BEHAVIOUR,IMPORTAR DATA,SPLIT DATA,TRAIN MODEL,TEST MODEL,TEMPO TOTAL
M5P,5966,11,0,2137,188,138,1804,7,2148
M5P,5966,12,0,2164,197,155,1804,8,2176
M5P,5966,11,0,2130,176,177,1769,8,2141
M5P,5966,11,0,2169,175,137,1849,8,2180
M5P,5966,12,0,2125,177,143,1798,7,2137
