MODEL,ERRO ABSOLUTO MEDIO,TOTAL SETUP,INICIAR BEHAVIOUR,TOTAL BEHAVIOUR,IMPORTAR DATA,SPLIT DATA,TRAIN MODEL,TEST MODEL,TEMPO TOTAL
M5P,5966,44,0,5221,442,313,4445,21,5265
M5P,5966,35,0,5216,423,301,4472,20,5251
M5P,5966,33,1,5140,418,302,4398,22,5174
M5P,5966,35,0,5231,426,299,4486,20,5266
M5P,5966,37,0,5288,419,288,4560,21,5325
