MODEL,ERRO ABSOLUTO MEDIO,TOTAL SETUP,INICIAR BEHAVIOUR,TOTAL BEHAVIOUR,IMPORTAR DATA,SPLIT DATA,TRAIN MODEL,TEST MODEL,TEMPO TOTAL
MultilayerPerceptron,14928,186,1,202729,1524,1491,199529,185,202916
MultilayerPerceptron,14928,182,1,205846,1525,1466,202663,192,206029
MultilayerPerceptron,14928,186,1,199477,1556,1465,196271,185,199664
MultilayerPerceptron,14928,186,2,183786,1528,1526,180441,291,183974
