MODEL,ERRO ABSOLUTO MEDIO,TOTAL SETUP,INICIAR BEHAVIOUR,TOTAL BEHAVIOUR,IMPORTAR DATA,SPLIT DATA,TRAIN MODEL,TEST MODEL,TEMPO TOTAL
M5P,5966,39,0,6411,606,416,5374,15,6450
M5P,5966,30,0,5988,549,378,5046,15,6018
M5P,5966,37,1,6252,575,379,5283,15,6290
M5P,5966,31,0,6223,550,379,5279,15,6254
M5P,5966,31,0,6274,583,377,5298,16,6305
