MODEL,ERRO ABSOLUTO MEDIO,TOTAL SETUP,INICIAR BEHAVIOUR,TOTAL BEHAVIOUR,IMPORTAR DATA,SPLIT DATA,TRAIN MODEL,TEST MODEL,TEMPO TOTAL
MultilayerPerceptron,14928,40,0,13821,425,298,13076,22,13861
MultilayerPerceptron,14928,39,0,14110,422,280,13386,22,14149
MultilayerPerceptron,14928,38,0,13757,414,278,13043,22,13795
MultilayerPerceptron,14928,33,0,13802,425,296,13060,21,13835
